"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPRM",-6.2386273559937,1.75440024926865,-9.1437801763155,3.58417775612729e-18,1.55338263950557e-15,30.6018862486672
"ATP4B",-528.32607318434,65.1679504973948,-9.13546888659835,3.81763594200705e-18,1.61859464732529e-15,30.5403961171645
"PI16",-58.3314931362265,12.9535953546924,-9.13037933074324,3.96797356157194e-18,1.64654017811356e-15,30.5027591899731
"ECRG4",-142.230235304759,27.6119307624975,-9.11716296025443,4.38632142012819e-18,1.75483458026387e-15,30.4050874230571
"SPINK2",-2.97516616690515,0.913317303352775,-9.11648548563611,4.40890603665741e-18,1.75483458026387e-15,30.4000831731143
"VIT",-3.86834791242858,1.13500198266747,-9.07649842312822,5.96752238904218e-18,2.30740589618014e-15,30.1051347347015
"AMPD1",-3.20618999115825,1.11180750702745,-9.07503673291403,6.03382560145553e-18,2.30740589618014e-15,30.0943688814455
"HNRNPA2B1",134.310003418368,229.345873360931,9.06772779283023,6.3764742168954e-18,2.39154570484829e-15,30.0405526795876
"NGB",-1.76808355848981,0.32991017765841,-9.0164182392026,9.389396631647e-18,3.45512080201908e-15,29.6635412732041
"FAM107A",-11.5892294258393,5.30830022471786,-9.01213588493168,9.69698919953412e-18,3.50222926589841e-15,29.6321377215637
"PTGDR2",-4.36989755827627,2.30668801068033,-9.00895322538124,9.93204045336268e-18,3.52190154476241e-15,29.6088047303694
"ADPGK",14.5076694786417,21.9777729434752,8.99709089654769,1.08589197235708e-17,3.78181270301429e-15,29.5218854315397
"HLF",-15.571117312542,4.43522124377681,-8.99467099738011,1.10582716283357e-17,3.78367493977951e-15,29.5041630895886
"RBP2",-786.089201601087,87.6748612153367,-8.98593307260117,1.18087581920739e-17,3.97079674172444e-15,29.4401957750358
"OTOP3",-28.1807738247078,3.94960315701645,-8.97518750802822,1.28011624214409e-17,4.09225688683968e-15,29.3615863356964
"PSCA",-1746.27748330445,443.758685648408,-8.97356964144666,1.29575702143695e-17,4.09225688683968e-15,29.3497560636637
"DPP6",-3.73878149463852,0.83343389061893,-8.97343498187083,1.29706734978219e-17,4.09225688683968e-15,29.3487714591405
"USP2",-6.95604021993355,3.21911358348775,-8.97303904530763,1.30092768796626e-17,4.09225688683968e-15,29.3458765036973
"CKB",-346.627846174505,144.886731195744,-8.95462537195588,1.49360701896239e-17,4.623780585845e-15,29.2113332985794
"CBR1",-83.0139783864746,49.2975993886321,-8.95056529990308,1.53975533923377e-17,4.69216380954317e-15,29.1816916713554
"IGSF11",-2.05917343869345,0.727725250362311,-8.93714652827502,1.70255977729787e-17,5.10846512871389e-15,29.0837864546686
"ADCYAP1R1",-2.42591189248617,0.629356587854343,-8.92236708496571,1.90165322796572e-17,5.6193852886387e-15,28.9760640373338
"BTG2",-469.021684361864,193.190403597389,-8.90218527216028,2.21123635565824e-17,6.43667800662727e-15,28.8291529706985
"CRYAB",-75.0991689104867,28.7620259517583,-8.89510705385911,2.33123781599815e-17,6.68619575373703e-15,28.7776792876621
"HPCAL4",-1.32692854348847,0.371240266858447,-8.87350445584351,2.73881209729042e-17,7.7413119323848e-15,28.6207477759077
"GFRA2",-1.89519157542043,0.756842884659077,-8.86887369673188,2.8349684810497e-17,7.82349543805527e-15,28.5871402000162
"GKN1",-9999.26753107144,1450.17893084849,-8.86825262454996,2.84811657745949e-17,7.82349543805527e-15,28.582633662352
"GNL2",13.4898748483365,22.6288464166666,8.86085720146695,3.00939602812138e-17,8.15170149117379e-15,28.528987887916
"CAB39L",-18.4209469903538,10.1075291101963,-8.82111653286726,4.04397606412108e-17,1.08040637230895e-14,28.2412148792657
"S100B",-17.4069827115031,7.61296685497197,-8.81632377238673,4.19044673407064e-17,1.0910989360635e-14,28.2065665811458
